he_test ['העומד' 'שפסלו' 'האקס']
העומד (HVMD):	haomed	['haomed', 'homed']
וגיסותיו (VGYSVTYV):	vgisotav	['vgeysotav', 'vgyasotav']
שבחלב (SVCHLV):	shebakhelev	['shebakhelev', 'svkhelev', 'svkhalev']
שחדש (SCHDS):	sheakhdesh	['skhods', 'shekodesh', 'shekhidesh']
והונהו (VHVNHV):	vhonehu	['vhonahu']
לכפותו (LCHFVTV):	lkapoto	['likpoto']
ועומר (VVMR):	vomer	['vomar']
שיעור (SYVR):	shiur	['seeor', 'syeor']
אגה (GH):	aga	['ega']
כברכת (CHVRCHT):	kivrakhat	['kbirkat', 'kivrekhat']
דמלכה (DMLCHH):	dmalka	['dmilkh']
ומבוסה (VMVVSH):	vmvusa	['vmvusa']
בקמח (VQMCH):	bkemakh	['bkemakh', 'bakaemakh']
פרדש (FRDS):	pardes	['prades', 'prds']
נשתלת (NSTLT):	nishhtolet	['nishhtalth']
עולצים (VLTZYM):	olatsim	['oltsim']
ית׳רב (YTRV):	yitrav	['yatheirv', 'yatheribh', 'yathriv', 'yatherevh']
משיחותיו (MSYCHVTYV):	mshikhotav	['misoiakotav']
וסעדו (VSDV):	vsadu	['vsaadu', 'vsadu']
יצען (YTZN):	yitsan	['yitsan']
שיהיו (SYHYV):	sheyahyu	['sheyihyu', 'sheyhyu', 'seihyu', 'sheihyu']
ה״מעג׳ל (H_MJL):	hmajal	['hmuajal']
נתנסה (NTNSH):	nitnase	['nitnash']
רישייכו (RYSYYCHV):	rishayiku	['reyshayiku']
והווי (VHVVY):	vahavui	['vahavoi']
בשמינית (VSMYNYT):	bishminit	['bashminit', 'bishminit']
וטמאתם (VTMTM):	vtumatam	['vtumatam', 'vtimetem']
רעיתא (RYT):	rita	['raita', 'reta']
למטיבי (LMTYVY):	lmativi	['limtyvi']
שהריץ (SHRYTZ):	sheherits	['sherits']
וספינתי (VSFYNTY):	usfinati	['usfinati']
ו״פרוגרמה (V_FRVGRMH):	vprogrma	['vprograma']
בארמא (VRM):	barma	['baarama']
והמכזבין (VHMCHZVYN):	vhamkazbin	['vhamkazavin']
פנאן (FNN):	panan	['panan', 'pann']
נילה (NYLH):	nilh	['nilh']
מהמלין (MHMLYN):	mehamulin	['mhemlin', 'mhemlyn']
שחובלים (SCHVVLYM):	shekovlim	['shekhovlim']
שנתנבל (SNTNVL):	shenitnabel	['shenitnabel']
חאצ׳ין (CHTSHYN):	khachiyn	['kheachiyn']
בזקנה (VZQNH):	bizkanh	['bizkena', 'bizkanh', 'bzikna']
אם־יוליד (M_YVLYD):	im-yolid	['im-yolid']
צדה (TZDH):	tsda	['tsidh', 'tsed', 'tsid', 'tseda', 'tsada', 'tsode', 'tsade', 'tsodh', 'tsidah']
למטרך (LMTRCH):	lmitrakh	['lmitrakh']
ולהון (VLHVN):	vlhon	['vlhon']
מבושלת (MVVSLT):	miboshelet	['mvoshelet']
תחנית (TCHNYT):	takhanit	['takhanit']
לא־יותר (L_YVTR):	lo-yutar	['lo-yiuater']
אאוזורה (VZVRH):	auzore	['aozorh']
אדבר (DVR):	adaber	['edaber', 'adubar', 'adavr', 'adaber', 'adabr', 'adbar', 'idvar']
ואתטמרה (VTTMRH):	vittamara	['vittamra']
תחבקני (TCHVQNY):	tkhabkeni	['tkhabkeni']
ובהלוכו (VVHLVCHV):	vvhalukho	['vvhilukho']
בצדיהן (VTZDYHN):	btsidehen	['btsidehen']
נינקו (NYNQV):	ninko	['ninko']
גרניה (GRNYH):	granya	['grnye', 'grenye']
שרעה (SRH):	shara	['sheraa', 'sera']
וכשהחכמות (VCHSHCHCHMVT):	vkshehakhamut	['vksheakhakhmot']
ליונתן (LYVNTN):	livnatan	['lyuֺnatan', 'lyonatan']
פליתא (FLYT):	plita	['paleyta']
והארון (VHRVN):	vhaaron	['vhaaron']
הסחלה (HSCHLH):	haskhala	['hskle', 'hsekle']
לנוכח (LNVCHCH):	lnokakh	['lnokakh']
נאוסיקאה (NVSYQH):	nosikaa	['nausikaa']
והמשוררים (VHMSVRRYM):	vhamshurrim	['vhamsh,orarim', 'vhamshorrim']
נוכחת (NVCHCHT):	nokakhat	['nokakhat', 'nukakhat']
וינסו (VYNSV):	vyinsu	['vinasv', 'vayanusu', 'vyanusu', 'vaynasu']
תסכך (TSCHCH):	tiskakh	['tsakekh']
בעל־מזמות (VL_MZMVT):	baal-mzamot	['baal-mzimot']
שיחלצו (SYCHLTZV):	sheykhaltsu	['sheyakhltsu']
כתור (CHTVR):	ktor	['ktora', 'ktor', 'kitur']
ממסופוטמיה (MMSVFVTMYH):	mimsofotamya	['mmesopotamya', 'mimsopotamya']
ספורטאי (SFVRTY):	sportae	['sportai']
לייח (LYYCH):	layykh	['lyykhe']
לשפאליע (LSFLY):	lshapalya	['lishpalye']
ישאילוהו (YSYLVHV):	yashilohu	['yashiluhu']
שדמיהן (SDMYHN):	shedmeihen	['shedmeyhen']
והרה (VHRH):	vhare	['vhre', 'vhera', 'vher', 'vhr', 'vhara', 'vhare']
הסיק (HSYQ):	hesik	['hisik', 'hesik']
רבותך (RVVTCH):	rvutakh	['rvutakh']
היום (HYVM):	hayom	['hayum', 'hayoum', 'hayuֺm', 'hayom', 'hyom', 'hay,om', 'havm', 'hyoum', 'hyume']
המח׳אבראת (HMCH_VRT):	hamakhavat	['hmukhaabarat']
התפעלות (HTFLVT):	hitpaalut	['hitpaalut']
שנתבאר (SNTVR):	shenitbaar	['shenitbaer', 'senitbaer']
נקטרת (NQTRT):	nikteret	['nikteret']
ל״עבדי (L_VDY):	lavdi	['lavdei']
שישרף (SYSRF):	sheyisrof	['sheyisoaref', 'sheyisrof']
מציעותיה (MTZYVTYH):	mtsiuteyh	['mtsiuteyh']
הממליך (HMMLYCH):	hamamlikh	['hmamlykh', 'hamamlikh']
דמשמתין (DMSMTYN):	dimshamtin	['dimshamtin']
בהתכת (VHTCHT):	bheteket	['bhatakhat']
רבסון (RVSVN):	ravsun	['raevson']
ואתבר (VTVR):	vitbar	['vetbar', 'vithvar', 'vatbar', 'vitavar', 'vitbar']
כי־עמנו (CHY_MNV):	ki-amanu	['ki-imanu']
הצומח (HTZVMCH):	hatsomeakh	['hatsomeakh']
בריחים (VRYCHYM):	breykhim	['bareykhayim', 'brikhim', 'barikhim', 'breykhayim', 'brikim', 'barekhayim']
לוטן (LVTN):	loten	['lotan', 'loutaan']
פינטוסביץ (FYNTVSVYTZ):	pintosevyts	['pintusevits']
ולא־זכרו (VL_ZCHRV):	vlo-zakhru	['vlo-zachru']
נטיפו (NTYFV):	ntipu	['ntifu']
יללתו (YLLTV):	yilaltu	['yillatv']
כלית (CHLYT):	kalyt	['klit', 'kelit', 'kulit', 'kilith', 'kilyat']
על־מרדכי (L_MRDCHY):	al-mardokay	['al-mardokay']
כעכנא (CHCHN):	kakna	['kakhna']
והגולים (VHGVLYM):	vhagolim	['vhagolim']
מעגלה (MGLH):	maagala	['meagala', 'meeglh', 'meglh', 'maagela']
המשיחים (HMSYCHYM):	hamshikhim	['hamshikhim']
שנך (SNCH):	snekh	['snikh']
אלקמבועה (LQMVVH):	alkambua	['lkambua']
ולא־עשו (VL_SV):	vlo-asu	['vlo-asu']
שיתו (SYTV):	sheyatu	['shito', 'shitu']
יזכירו (YZCHYRV):	yazkiru	['yazkiru', 'yazkiro']
ומרכיבין (VMRCHYVYN):	vmarkivin	['vmarkivin']
שוויי (SVVYY):	shavvyay	['shivuii', 'sveuyi']
ואריה (VRYH):	varih	['varye', 'variya', 'varih']
מכבלא (MCHVL):	mkabla	['mkabla']
רגזה (RGZH):	ragza	['ragzh', 'ragza', 'rgaza', 'rugz', 'rׇgza', 'ragzeh']
ושלפניו (VSLFNYV):	vshilpanav	['vshelpanav']
כשחופף (CHSCHVFF):	kshekofef	['kshekofef']
גרזןמנוע (GRZNMNV):	graznmnua	['garzenmnua']
שימצאו (SYMTZV):	sheyimatsu	['sheyimtsu', 'syimatsu', 'sheimatsu', 'sheyimatsu']
שאבתי (SVTY):	sheavati	['shaavti']
אלהי־אבותיכם (LHY_VVTYCHM):	elohey-avoteychem	['elohey-avoteychem']
נקהלו (NQHLV):	nikhalu	['nikhalu']
ויפזר (VYFZR):	vyipazaer	['vipazaer']
להקליא (LHQLY):	lhaklaya	['lhakli']
ברניקינוס (VRNYQYNVS):	bernikinus	['bernikyanus']
מריות (MRYVT):	maryot	['mrayot']
לשתותו (LSTVTV):	lishtoto	['lishtoto']
נהלים (NHLYM):	nahalim	['nhalim']
ובנמכר (VVNMCHR):	vvnimkar	['vvnimkar']
מפגעים (MFGYM):	mpagim	['mpagaim', 'mpagim']
ו״טרשת (V_TRST):	vtareshet	['vtareshet']
וייתינה (VYYTYNH):	vyeytina	['vyaytinah']
בוי (VVY):	boi	['bvi', 'bauay', 'bvei', 'bvay', 'boi']
דחפיש (DCHFYS):	dakhafis	['dkhafis']
בחלם (VCHLM):	bakhalam	['bhkholem', 'bakhalom', 'bhkhelm', 'bkhelem']
דמארך (DMRCH):	dmaarakh	['dmaracha', 'dmarakh']
ביציבא (VYTZYV):	bitsiva	['byatsiva']
אם־עשק (M_SQ):	im-asak	['im-oshek']
שמעם (SMM):	shmaam	['shimam', 'simam', 'simaam', 'semeim', 'shamam']
הונא (HVN):	hona	['huno', 'huna']
נתפלגו (NTFLGV):	nitpagu	['nitpalgu']
משיקות (MSYQVT):	mshikot	['mashaikot', 'mashikot']
להגיד (LHGYD):	lhagid	['lhagid']
לשפמפם (LSFMFM):	lspmpum	['lspmpam']
קבליה (QVLYH):	kibleh	['kableyh', 'kavleh']
ויקטיל (VYQTYL):	vyaktil	['vyiktel']
ידיעאל (YDYL):	ydial	['ydiael']
כעבריות (CHVRYVT):	kavriot	['kavariut']
הא־אנה (H_NH):	he-ana	['ha-ana']
את־ברע (T_VR):	et-bara	['et-bera']
וחתימה (VCHTYMH):	vakhatimah	['vakhatima']
הפונדה (HFVNDH):	hfundh	['hpundh']
להפצילן (LHFTZYLN):	lhaftsilan	['lhaftsilan']
דאתחפיו (DTCHFYV):	dhitkhapev	['dhitkhapiu']
ומשמרן (VMSMRN):	vmishmaran	['vmshamran']
ההבל (HHVL):	hhavel	['hahevel', 'hehavel']
מן־השכר (MN_HSCHR):	min-hashaeker	['min-hashekhar', 'min-hashaekhar']
הזרטי (HZRTY):	hzrati	['hazreti']
לחיובא (LCHYVV):	lkhiuva	['lkhiyuva']
ושנן (VSNN):	vshnan	['vshanan']
התפוצות (HTFVTZVT):	hatfutsot	['htfutsot', 'hatfutsot', 'hathfutsot']
הויותנו (HVYVTNV):	havayotenu	['havayutnv']
וטקיס (VTQYS):	vtakhis	['vtakeys', 'vtakaes', 'vtakis']
בקלייב (VQLYYV):	bklayyv	['bakaalayeyv']
ארינמל (RYNML):	arinmal	['arynamal']
בכל־דרכיך (VCHL_DRCHYCH):	bkal-drakeycha	['bkal-drakayikh', 'bkal-drakeycha']
תתעצל (TTTZL):	titatsal	['titatsl']
זירכהשנזירכה (ZYRCHHSNZYRCHH):	zyirkhasenzyirka	['zyirkhahsnzyirka']
עד־אבדון (D_VDVN):	ad-avdon	['ad-avadon']
לעריה (LRYH):	leriyh	['lareyha']
מעזם (MZM):	mezem	['muzm']
בפימוי (VFYMVY):	bfimoi	['bfimoi']
מנהגיה (MNHGYH):	minhagaya	['minhagi']
ומגובה (VMGVVH):	vmaguva	['vmgube']
פס (FS):	pas	['pase', 'pasi', 'fsh', 'pes', 'pesh', 'pasa', 'pas', 'ps', 'psi', 'phes', 'psa']
דגרמין (DGRMYN):	dgarmin	['dgarmin']
לגומלין (LGVMLYN):	lgomlin	['lgomlin']
לשאור (LSVR):	lishor	['lasoor']
והוי (VHVY):	vahavi	['vahavi', 'vehevei', 'vhavei', 'vahavayh', 'vahui', 'vahavei', 'vhavi', 'vhue', 'vhoi', 'vhevei', 'vehevi']
ולבאים (VLVYM):	vlabaim	['vlabaim']
הבודהה (HVVDHH):	hbudha	['hbudha', 'hvuudha', 'hvudha']
ואם־אקח (VM_QCH):	vim-ekaakh	['vim-ekaakh']
והרעותם (VHRVTM):	vharotem	['vahareotem', 'vhareutm']
טנגוגלית (TNGVGLYT):	tangogalit	['tngogalyt']
אם־חי־יהוה (M_CHY_YHVH):	im-khey-yhva	['im-khay-yhva']
אין־אונים (YN_VNYM):	ein-onim	['ein-onim']
בהישמה (VHYSMH):	bhishma	['bhyshma']
ולהספידן (VLHSFYDN):	ulhaspidan	['ulhaspidan']
בבישקק (VVYSQQ):	bviskak	['bbiskek']
צ׳ן (TSHN):	chen	['chen']
הזבובין (HZVVVYN):	hazavuvin	['hazavuvin']
שיגוואן (SYGVVN):	syaguavn	['sigvvan']
ומרמינא (VMRMYN):	vmarmina	['vmarmina']
וצונח (VTZVNCH):	vtsoneakh	['vtsoneakh']
ב״האשרגים (V_HSRGYM):	bheshregim	['bhasarugayum']
לחפרפרות (LCHFRFRVT):	lkhaparot	['lakhafarparot']
דפקידתינון (DFQYDTYNVN):	dpakidtinun	['dpakeydtinun']
וסוחרניה (VSVCHRNYH):	vsokharaneih	['vsukharaneih']
נעזבך (NZVCH):	naazbkha	['naazbekh']
בקחתו (VQCHTV):	bikkhatu	['bkakhto']
למסמך (LMSMCH):	lmismakh	['lmasmekh', 'lmismakh']
ויברפון (VYVRFVN):	vyivrpun	['vibrafon']
חולקייהו (CHVLQYYHV):	kholkayayhu	['khulakayyhu']
בשיקולא (VSYQVL):	bshikula	['bshikula']
היס (HYS):	hayas	['hysa', 'hyese', 'hisa']
את־בגדיך (T_VGDYCH):	et-bgadecha	['et-bgadecha', 'et-bgadayikh']
גמם (GMM):	gamam	['gamam']
כשיתפשרו (CHSYTFSRV):	ksheyitpashru	['ksheyitpashru']
בקת (VQT):	bekt	['bkat']
טפים (TFYM):	tapim	['tipaym', 'tfim', 'tapim', 'tipim']
פטמית (FTMYT):	patamit	['pitmit']
סצומות (STZVMVT):	stsumot	['satsumot']
אריהצמח (RYHTZMCH):	arihatsmakh	['arihtsmkh']
וחסימין (VCHSYMYN):	vakhasimin	['vakhasimin']
כ״ספקטקל (CH_SFQTQL):	kspaktakel	['kspektakl']
ש״וישבע (S_VYSV):	svayeshba	['svayishava']
בחמו (VCHMV):	bkhamo	['bkhumu', 'bkhumo']
לארלנגר (LRLNGR):	larlanger	['lerlanger']
ובטוח (VVTVCH):	uvtuakh	['uvatuakh']
נהיגי (NHYGY):	nhigi	['nhigi', 'nhigei']
אטרפיה (TRFYH):	atrapya	['atarpeyh']
את־העבדים (T_HVDYM):	et-haovdim	['et-haavadim']
התשיעי (HTSYY):	hatshii	['hatshii']
מינאה (MYNH):	minaa	['minah']
דגזיר (DGZYR):	digzir	['dgazir']
בזהותך (VZHVTCH):	bzaotkh	['bzaotkh']
הגרוסיה (HGRVSYH):	hgrusya	['hgerusiya']
ליזוטה (LYZVTH):	lizuta	['lyzavet']
חלאווית (CHLVVYT):	khelavavyt	['khalauivyt']
אוקידו (VQYDV):	okidu	['okidu']
ערקא (RQ):	arka	['araka']
הברגישס (HVRGYSS):	hbrgisas	['hbergyses']
ובקשתו (VVQSTV):	vvkishto	['vvkashto', 'uvakaashato']
ומאשרן (VMSRN):	vmeasharan	['vmashran']
קאקן (QQN):	kakan	['kakn']
ישקץ (YSQTZ):	yiskets	['yshakaets']
לפרזנה (LFRZNH):	lparzna	['lfarzane']
אל־צלע (L_TZL):	el-tsala	['el-tsela']
וינהל (VYNHL):	vyinhal	['vinahel']
וממותנא (VMMVTN):	vmmotena	['vmimotana']
מחתיא (MCHTY):	makhtya	['makhtaya', 'makhtya']
ל״מפעל (L_MFL):	lmofel	['lmifal']
בודגוטוב (VVDGVTVV):	bodgotov	['budgotov']
הקנית (HQNYT):	hakanit	['hikneit']
דגימידע (DGYMYD):	dgimida	['dagimeida']
ערבייה (RVYYH):	arbyeh	['arabiay', 'arbyyha']
את־כל־התעבות (T_CHL_HTVVT):	et-kal-hataavot	['et-kal-hatoevot']
שהים (SHYM):	shhim	['shyam', 'shehayam', 'sheim']
דתהומיא (DTHVMY):	dithomaya	['dithomaya']
טרטוגני (TRTVGNY):	teratugeni	['teratugni']
נשויה (NSVYH):	nshuya	['nsuya']
ואדא (VD):	vaada	['uada', 'vada']
ולהישיר (VLHYSYR):	vlhishir	['vlhayshir']
ורבעי (VRVY):	vrivei	['vrivi', 'vrvai']
מרדן (MRDN):	mardan	['mardan']
ושיציאונון (VSYTZYVNVN):	vshetsiyonun	['vshetseyunun']
פרידתנו (FRYDTNV):	pridatenu	['pridatenu']
אנשי־הארץ (NSY_HRTZ):	anshe-haarets	['anshe-haarets']
כמשגע (CHMSG):	kimshuga	['kimshuga']
יינבי (YYNVY):	yinave	['yeynave']
הדחן (HDCHN):	hadkhan	['hadokhan']
ממרך (MMRCH):	mimarekh	['memorekh']
מכף־רע (MCHF_R):	mikf-ra	['mikaf-ra']
אנלואו (NLVV):	analuo	['enlov']
קדירתא (QDYRT):	kadirta	['kderata']
את־הגלעד (T_HGLD):	et-hagilad	['et-hagilad']
בפריסת (VFRYST):	bifrisat	['bifrisat']
דדבקא (DDVQ):	ddabka	['ddabka']
פינל (FYNL):	pinel	['paynal']
פטוצ׳יני (FTVTSHYNY):	petuchiyni	['petuchiyni']
אביתון (VYTVN):	avitun	['avitun']
ותשהה (VTSHH):	vatishhe	['vtishhe']
קיטורים (QYTVRYM):	kitorim	['kytorim']
רוגזאי (RVGZY):	rugzai	['rugzai']
דצריכיתו (DTZRYCHYTV):	ditsrikitu	['ditsrikitu']
ואת־מאמר (VT_MMR):	vet-mamar	['vet-maamar']
מזקופנה (MZQVFNH):	mizakufna	['mzakopane']
יצוחו (YTZVCHV):	ytsukho	['yitsvakhu']
הנפשית (HNFSYT):	hanafshit	['hanphsit']
אזוגי (ZVGY):	ezugi	['azugei']
למיקטר (LMYQTR):	lmiktar	['lֿmikֿtar']
חולפים (CHVLFYM):	kholfim	['kholfim']
ובצדקה (VVTZDQH):	vvtsidka	['uvitsdakh']
אגמים (GMYM):	agamim	['agamim']
באירלנד (VYRLND):	birland	['bhirland', 'birolnid']
טומרקין (TVMRQYN):	tomrkin	['tumarkin']
פשיטתא (FSYTT):	pshitata	['psitta']
ממקרקעי (MMQRQY):	mimkarkae	['mimikarkei', 'mimkarkei']
ושקיט (VSQYT):	vshakit	['vshakit']
על־האח (L_HCH):	al-haakh	['al-haakh']
פורמת (FVRMT):	poremet	['poremet']
הגנן (HGNN):	haganan	['haganan', 'hganan', 'hgnnh']
עלויו (LVYV):	aluyo	['iluyo']
עסקנית (SQNYT):	askanit	['askanit']
ולנהורא (VLNHVR):	vlinhura	['vlinhora']
כל־עלמים (CHL_LMYM):	kal-almim	['kal-olamim']
עזיל (ZYL):	azil	['azil']
אנדרו (NDRV):	andru	['endru']
לדנכתם (LDNCHTM):	ldanktam	['ldiniktum']
ילון (YLVN):	ylon	['yalon', 'yloun']
אכעיסך (CHYSCH):	akisekh	['akisecha']
שאל־לך (SL_LCH):	shaal-lcha	['shal-lcha']
אם־טמאה (M_TMH):	im-tuma	['im-tmea']
והזריח (VHZRYCH):	vhizriakh	['vhizriakh']
ונתחזקה (VNTCHZQH):	vnitkhazaka	['vnitkhazaka', 'vnitkhazaaka']
קטבך (QTVCH):	ktabekh	['katavcha', 'katavkh']
ולאתמלייא (VLTMLYY):	vlitmalyaya	['vlitmalyaya']
וחוסה (VCHVSH):	vkhusa	['vkhose', 'vkhosa', 'vkhusa']
עגלא (GL):	agala	['agala', 'egla']
ונבעלתי (VNVLTY):	vnivalti	['vnivalti']
לזרסון (LZRSVN):	lzarsun	['lazarsun']
בריום (VRYVM):	brium	['baryum']
הגדרתי (HGDRTY):	higdarti	['hagderati']
יתכס (YTCHS):	yitkas	['yitkas']
סרדון (SRDVN):	serdon	['srdon']
ביסודי (VYSVDY):	byisode	['bisodei']
הקימות (HQYMVT):	hakaimot	['hkayamut']
שנוטלו (SNVTLV):	shenotlo	['shenotlo']
זרענים (ZRNYM):	zranim	['zeronim']
נפולי (NFVLY):	nfulei	['napoli', 'nafoli']
סמפונות (SMFVNVT):	samponot	['simponot', 'simponut']
אוברסטרנד (VVRSTRND):	oberstrend	['overstrend']
להטרידך (LHTRYDCH):	lhatridkha	['lhatridekh']
תספדוני (TSFDVNY):	tispduni	['tispduni']
מנעתני (MNTNY):	mnatani	['mnatani']
שפאייה (SFYYH):	spayaya	['spaeyai']
חלשונו (CHLSVNV):	khalshono	['khelsono']
הסוער (HSVR):	hasoar	['hasoer']
ולא־יעמדו (VL_YMDV):	vlo-yaamodu	['vlo-yaamdu']
באכה (VCHH):	bak	['boakha', 'bok', 'boak']
והשן (VHSN):	vhsen	['vhashen']
תשומם (TSVMM):	tshumam	['tishomem', 'tshomem', 'tisomem']
ובחלול (VVCHLVL):	uvakhalul	['vvkhilul']
ותל (VTL):	vtal	['vtal', 'vtol', 'vtel', 'vatel']
כשכינתא (CHSCHYNT):	kshekinta	['kshkinta']
וילבוש (VYLVVS):	vyalbush	['vyilbosh']
בלשכתא (VLSCHT):	blishkata	['blishkata']
אשר־יולדו (SR_YVLDV):	asher-yiualdu	['asher-yiualdu']
סוינקה (SVYNQH):	suyanka	['soinek']
הפרולטאריאט (HFRVLTRYT):	hproltarit	['hproltaryat']
וקצבה (VQTZVH):	vkatsava	['vkitsbh']
רעסס (RSS):	raases	['rases']
מיפוק (MYFVQ):	mipok	['meipok']
כל־חפצו (CHL_CHFTZV):	kal-kheftso	['kal-kheftso', 'kal-khefts,o']
פדובי (FDVVY):	padovi	['padobi']
מפריחות (MFRYCHVT):	mafrikhot	['mafrikhot']
ותשתחו (VTSTCHV):	vtistkhu	['vatishhtaku']
שהפסקה (SHFSQH):	shehafsakh	['shpsakh']
נצרוך (NTZRVCH):	nitsrukh	['nitsrokh']
נתנזכי (NTNZCHY):	nitnatski	['ntnzaki']
על־שמך (L_SMCH):	al-shimcha	['al-shmekh']
פלווה (FLVVH):	palvav	['plevev']
טכוסה (TCHVSH):	takusa	['tkhusa']
וזמורין (VZMVRYN):	vzimurin	['vzmorin']
ורב־כח (VRV_CHCH):	vrav-kokh	['vrav-kokh']
דחשדין (DCHSDYN):	dkhashadin	['dkhashdin']
נחילים (NCHYLYM):	nkhilim	['nkhilim']
וזריה (VZRYH):	vzarya	['vzriyh']
שפוסלין (SFVSLYN):	sheposlin	['sheposlin']
סאלוציא (SLVTZY):	salotsi	['salutsya']
דביום (DVYVM):	dbeyum	['dbyom', 'divyom']
מגבולות (MGVVLVT):	migvulot	['migvulot']
גאו (GV):	gao	['gaav', 'gao', 'gav', 'go', 'gau']
נלכדים (NLCHDYM):	nilkdim	['nilkadim']
במונטרוסו (VMVNTRVSV):	bmontroso	['bmontroso']
נשתמש (NSTMS):	nishhtamesh	['nishhtamesh']
לבלן (LVLN):	lvalan	['lbalan', 'labalan', 'lvalan']
לאתמליא (LTMLY):	litmalya	['litmalya']
עוררת (VRRT):	oreret	['orarth']
קירתיו (QYRTYV):	kirotav	['kirotav']
לאצטרפא (LTZTRF):	litstripa	['litstrafa']
לאתהנאה (LTHNH):	lithanaa	['lithanaa', 'lithanah']
שכנתך (SCHNTCH):	shkantakh	['shkintakh']
החרבין (HCHRVYN):	hakharavin	['hakharevin']
דדברו (DDVRV):	ddabaru	['ddabaru']
דתושבחתא (DTVSVCHT):	dtushbkhata	['dtushbakhta']
הר (HR):	hr	['harah', 'hro', 'hir', 'hor', 'hara', 'harae', 'har', 'hare', 'hirah', 'hra', 'hr', 'harh', 'hֺr', 'her', 'hre', 'hri']
בסינפלקס (VSYNFLQS):	bsinfelks	['bsinepleks']
ל״אעשה (L_SH):	laase	['lees']
ובזיוך (VVZYVCH):	vvzivukh	['vvzivekh']
ובדמכם (VVDMCHM):	uvidmechem	['uvdimchem']
המקובלות (HMQVVLVT):	hmkubalot	['hmkubalut']
יסרני (YSRNY):	yisreni	['yasreni', 'yisrni', 'yisrani']
מערבלים (MRVLYM):	marbalim	['marbelim']
וכשעומד (VCHSVMD):	vksheomed	['vksheomed']
ג׳מעה (JMH):	jama	['juma']
אזי (ZY):	azi	['azay']
סקרטר (SQRTR):	skartar	['sekreter']
ואתברכת (VTVRCHT):	vitbarkat	['vitbarkat']
הפאטרעט (HFTRT):	hpatrat	['hapatret']
לשטף (LSTF):	lshataef	['lishtof', 'lashaetef', 'lstof', 'lashetef', 'lshetef']
בהיה (VHYH):	bhayh	['baiye', 'bhi', 'bhy', 'bhyo', 'bai', 'bhayo', 'baiya']
ותקנוהו (VTQNVHV):	vtiknuhu	['vtikanuhu']
שוגג (SVGG):	shogeg	['sogeg', 'shogeg']
לפנצ׳סיקהה (LFNTSHSYQHH):	lpnchsikha	['lpanchasikha']
נפגשות (NFGSVT):	nifgshot	['nifgashot']
לגשרים (LGSRYM):	ligsharim	['ligsarim', 'ligsrim']
שנט (SNT):	snet	['snit']
רגליהם (RGLYHM):	raglehem	['raglehem']
למנרות (LMNRVT):	lminrot	['limnorot']
ותנער (VTNR):	vtinar	['vtinaer']
ונפסלין (VNFSLYN):	vnifsalin	['vnifsalin']
מסעות־ (MSVT_):	msaut-	['masot-']
מצלאן (MTZLN):	mtsalan	['mtsalan']
הארוכין (HRVCHYN):	haarukin	['haarukin']
בפרצ׳ין (VFRTSHYN):	bfarchiyn	['bparchiyn']
דויון (DVYVN):	dvayon	['diuayon']
האקונומיים (HQVNVMYYM):	hekonomyim	['hekonomyim']
לקלות (LQLVT):	lkalot	['liklot', 'lkalut']
ההדיוטות (HHDYVTVT):	hahadyotot	['hhdyotot', 'hahedyotot']
דאם (DM):	dam	['dem', 'dim', 'dam', 'dhim']
שהחבור (SHCHVVR):	sheakhavor	['sheakibur']
המהללה (HMHLLH):	hmahalala	['hamhulala', 'hmehella']
